"REF_DATE","GEO","Alternative measures","UOM","SCALAR_FACTOR","VALUE"
"2003-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2003-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2003-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2003-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2004-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"2004-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.6
"2004-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2004-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2004-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2004-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2004-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2004-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2004-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2004-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2004-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2004-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2005-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2005-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2005-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2005-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2005-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2005-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2005-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2005-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2005-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2005-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2005-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2005-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2006-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2006-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2006-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2006-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.8
"2006-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2006-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"2006-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.9
"2006-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"2006-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2006-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.2
"2006-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.3
"2006-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2007-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.1
"2007-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.4
